,Effectiveness,Price,Taste,Side effects,Quality control,Varied results,Ingredients,date,name,title,content,rating
10,1,0,1,0,0,0,1,2023-02-15,Basma,Be carful they are old and have mold,"I just received this vitamin on 2/12/23. This is not my first time buying these ones. But this time I saw the colour differ I thought maybe a new type, once I opened the bottle it has a terrible smell, I still tried. Omg the taste is so disgusting, made me throw up. I called Amazon costumer service, complained about it , thx they refunded me and I ended up trashing this one.. I will order but not now",5
11,1,0,0,0,0,1,0,2023-01-28,jessica,Trust me,"Now I was really skeptical about buying this product but I have tried everything to make my hair grow back. I had full thick curly hair now my hair is really thin and I lose clumps of hair. I have three bald spots and I have noticed since taking this product hair has begin to grow and this is the second time I order it, so I’ve been taking this for six months now it does help your nails for me and my case it took a little longer for the hair, but I am now seeing results for my hair to grow back",5
12,0,0,1,0,0,0,0,2023-03-21,Raymond,Bueno,Bueno,5
13,,,,,,,,2023-02-28,Norma S.,Excelente! Lo único que me detuvo la caída del pelo y me sacó pelo nuevo!,"Fácil de tomar, se mastican y el sabor es agradable.. Recomiendo totalmente rste producto, detuvo la caída del cabello y sacó pelo nuevo!",5
14,1,0,0,0,0,1,1,2023-02-01,Christina Gross,Scam,"I've been taking sugar bear hair for a long time. I got a bottle and noticed that the gummies were darker than usual. The consistency was weird and my wife noticed that her hair was falling out even more. On our most recent order, we tested the gummies and they were the original sugar bears. They were like what they are supposed to be. The bottom on the left is the correct bottle while the bottle on right is the fake bottle. The bottle itself on the fake bottle is also different.",5
15,1,0,0,0,0,0,0,2018-07-13,Darkskinnedmakeupdaily,NOT A HYPE IT DEFINITELY WORKS!!,"I first saw these gummies all over my social media feed, I was interested but thought it was a overhyped product, especially when I saw the Kardashians advertising it. I’m an African American female who joined the natural hair community over 2 years ago. My hair texture is kinky coily 4C and wouldn’t grow past a certain length even with protective styles and natural oils. January 2018, I purchased these vitamins after doing my research and reading the reviews on here. I also changed my diet, eating more leafy greens and drinking more water and focused on skincare to avoid breaking out. I was shocked when I started seeing results after two weeks, not only was my hair growing longer, the sparse areas in my edges grew back and I had new hair growing around my hair line pushing it forward. My nails also grew and hairs on the other parts of my body both wanted and unwanted lol. My sister is my hair stylist and she too noticed my hair growth but convinced me it was my new diet and healthy lifestyle rather than the gummies, so I stopped taking them after February. Unfortunately, my hair stopped growing, my edges started getting sparse and my nails were not as strong. After 3 months with no progress, I repurchased the Sugar Bear Hair Gummies in June. I’m writing this review a month later and MY HAIR IS GROWING AGAIN!! This time I did have some break outs pop up during the first week but they went away and I haven’t had anymore show up. The only con I have is the price, almost $40 a month is adds up but I recommend you try it out. Sorry for the long review.",5
16,0,0,0,0,0,0,-1,2023-02-19,Jimenaa,They help a lot,I took them for a month and I see a difference in my hair ..,5
17,0,-1,0,0,0,0,0,2022-08-25,Diane,Best product in its class!,"These gummies taste fantastic! I quit taking them for awhile, hoping to find something of equal value, while stilll providing the same great taste and giving healing power to not only my hair, but also my skin and nails. WOW! This is it! I HAD to go back. After only TWO days back on them, I honestly experienced the most improvement in my skin over any other product I tried.. I recently pulled out a partially used bottle of Sugarbearhairhair vegan gummies because I had been noticing more-than-normal drying and flaking skin and hair and started using the gummies for just a couple of days when I noticed a drastic change in the smoothness and improvement in the feel and look of not only my hair, but of my nails and skin as well. I looked at the label on the Sugarbearhair gummies and read that the daily value of 260mcg (2 gummies) contains 108% folic acid! Now that is amazing! That was enough evidence for me to demonstrate the reason for the rapid improvement in the texture, look and feel of my hair, nails AND SKIN!. I recently completed a form at the doctor's office for a Medicare wellness exam and one of the questions on the forms asked if the patient (me) takes Folic Acid as a supplement. I looked at the bottle of Sugarbearhair gummies and read the label that stated 108% value in Folic Acid. I'm not really certain about how to interpret these values but it was enough",5
18,,,,,,,,2023-02-28,Mejia,Buenísimo,Excelente,5
19,,,,,,,,2023-02-08,Ana,Tiene buen sabor,Me gustó el sabor y la presentación de las gomitas decidí empezar a tomar las vitaminas por recomendación de una amiga 🥰,5
20,1,-1,0,0,0,0,0,2023-02-17,paula,not sure,taste great not sure they worked that well kind of expensive,5
21,1,0,0,0,1,1,1,2022-12-26,SChat,My fingernails are wonderful!,"My fingernails are the strongest and longest they have been in years after less than a month of taking this product! As for my hair, some is still falling out but I think it is less than before and there does seem to be a number of short hairs mixed in with it too. I has my hair cut 2 weeks ago, and I am already close to needing a trim. Usually I need a trim every 6 weeks, so this is a good thing because the short hairs I am seeing would be right at the stage of new hair growth. I am one happy customer!",5
22,1,0,0,0,0,1,1,2023-01-26,C. Moore,This supplement works!!!,"I had Covid middle of last year and it made my hair fall out for months afterwards. Within just a short period of taking these, my hair stopped falling out and started growing again. These helped me so much!!!",5
23,0,-1,-1,-1,0,0,0,2018-02-23,Beth,So far...,"I will have to come back in 3 months to update my review. For now I give it 5 stars based on taste, ease of taking and ingredients. I won’t review based on results until I’ve tried it at least 90 days. No one can really give an accurate review of a product like this for a few months. Taste: they are yummy. Can’t complain about that at all. Best part about the flavor is once you’re finished chewing & swallowing, the flavor pretty much goes away. It’s not a lingering flavor.. Ease of taking: yes, they are easy to chew. Very soft. Not rubbery like a gummy bear. However, they do tend to stick to your teeth. It’s not that bad. They dissolve fairly quickly so it’s very little that sticks.. Ingredients: It’s full of all the vitamins needed for healthy hair, skin, nails. Nothing to complain about there. For those that do complain about a couple of the extra ingredients like sugar & coloring, please stop. It’s not enough to make a difference. The gummies are small, and you only chew two daily. FYI.. #1 do NOT contain enough sugar to cause acne. Think about the other things you consume that contain before you blame the vitamins. #2 Please do a little research on the difference between micrograms (mcg) and grams (g). The Inositol is dosed in mcg on this label. It’s not even close to enough daily to cause a real problem. I think some people could have sensitivities to things, but I also believe the pics shown of people with massive acne breakouts are from people with acne prone skin anyway. I do not have acne on my face. I will be able to give an honest review of the product, if that should change. I doubt it will. Like I said the “other” ingredients like sugar & inositol are not enough to CAUSE severe acne breakouts.. I will be back to update in May!. P.S. I had already been doing other things for my hair prior to starting the gummies. I wash my hair in a quality moroccan oil shampoo & conditioner and I use an argan oil heat protectant spray on my hair before using ANY heating tool whether it’s a hair dryer, straightener or curler. I threw away my brushes and ONLY use a comb. I don’t put my hair up wet. I don’t box color my hair anymore. In fact, I don’t dye my hair at all. I get it cut every 8 weeks. Once a week I use an argan oil mask. Once a month I use a vinegar rinse (Just Natural). Yep, I spend a lot of money, but the products last forever. My hair is healthier than it’s ever been. The gunmies were the final step. Oh, and I drink a ton of water. I do that anyway because I workout daily. I eat no sugar, no fried foods, no processed foods. You HAVE to take care of the inside as well as the outside of your body.",5
24,0,0,-1,-1,0,0,0,2023-02-04,Amazon Customer,Hair vitamins,Great product,5
25,0,0,0,0,-1,0,-1,2022-12-11,Dr. Quinzel,My skin is so soft!,"I've ALWAYS had these little bumps on the back of my arms and dry skin in general. I started taking these for my hair, I didn't expect the amazing skin results! The bumps are completly gone and for the first time ever i have soft skin (and its a dry winter!!) My husband even commented on how nice my skin is. It's also helping my hair. It doesn't feel so fine and is getting stronger.",5
26,0,-1,-1,-1,0,0,-1,2022-12-14,Mike Ergas,Formula Change,I have been taking Sugarbear Vitamins for a while. Recently they changed the formula and the taste is not nearly the same. I used to recommend these based on results and great taste but the change of formula really has me re-thinking if I like these anymore.. I’m not sure why they changed the formula? Can someone from the company explain?. Thanks,5
27,-1,-1,-1,0,0,0,-1,2023-01-19,magda amaya,I would definitely recommend this product..,"I was losing a lot of hair, and this has helped me a lot.",5
28,1,0,0,0,0,1,0,2022-10-10,Sweet Cumulonimbus 🌩,These vitamins,"There's something funny with these vitamins. For instance, color. They have a slight brown yellow tinge. They don't smell like the original vitamins, and they have me under the skin pimples. I have never had issues with acne with these supplements before, BUT, this is my first time ordering from Amazon. It makes me question if these are genuine sugar bear hair supplements. It's also a bit questionable that they do not honor a return policy. BUYER BEWARE.. I ordered some new ones from the actual website and will update you ladies and gents with photos so you can compare notes. Thank you.",5
29,0,-1,-1,0,-1,0,-1,2018-09-29,sanaz_,"REVERSED years of stress-related hair thinning!!!!! Ladies, I am not making this up!!!!!!!!","First off, I never review products, and I would have never imagined myself to have such rave reviews for adult gummy vitamins. But I figured that as a 22-year old woman who has dealt with hair loss and thinning at the part for a majority of her teenage and young adult life, my experience with this product may be worth sharing. After a parent was diagnosed with a chronic illness when I was a teenager, stress and hair loss (and stress because of hair loss, etc.) had become a normal part of my life. Countless doctor appointments, hair specialist visits and blood tests had ruled out the possibilities of allergic reactions, genetic disorders, and hormonal imbalances. It wasn't until my general practitioner finally mentioned that the causes were likely stress and nutrition-related that I started doing research into vitamins to treat my deficiencies, and boy, am I glad I did. Soon after, I came across SugarBearHair--which I recognized from the plethora of promotions made by the Kardashian clan and other celebrities--and quite frankly, I was skeptical about its legitimacy. But by this point, I was at my wits end after years of treatments and finding no real results, so I figured I would give this a try for at least one month.... I am not exaggerating when I say that the results have been FANTASTIC. In the last month, I have received comments from my hairstylist, hair loss specialist and family about my hair regrowth. My hair looks fuller now than it has in years, with thick hair regrowth on the back of my head. I can also see my thinning part beginning to slowly fill out. To say that I am RELIEVED AND ASTONISHED would be an UNDERSTATEMENT. It should also be noted that I am using this product in combination with other vitamins, Spironolactone and birth control pills targeted at preventing hair loss, as well as better managing my stress, sleep, exercise and diet. However, it is also worth mentioning that it wasn't until a few weeks AFTER I started taking SugarBear that I starting seeing real results. I just started bottle two, and I don't intend to stop. Fingers crossed the results will keep coming. To all the young ladies out there experiencing hair thinning: PLEASE PLEASE 1) manage your stress, diet, sleep, and overall health; and 2) TAKE YOUR GUMMIES!",5
30,-1,-1,0,0,0,0,0,2023-01-16,Reesepooh,Hope they help my hair to grow,I purchase this item for hair growth hopefully they help,5
31,-1,0,0,0,0,-1,0,2023-01-21,Amzn1,Love these,These are amazing,5
32,0,-1,0,0,0,0,0,2022-12-11,Erin,Great product,"It was a bit pricier than I’d liked but the product is a good one. Easy to chew and swallow, fantastic flavor. I’ve already seen a difference in the growth of my hair and nails. Will purchase again",5
33,0,-1,0,-1,0,0,0,2023-01-17,LUCIA CARDENAS,Excellent,Buenisimos y si funcionan,5
34,-1,0,0,-1,0,0,-1,2020-05-24,Sarah S,Hair loss after baby? Try these- it worked for me,"I have never written a review for any of the hundreds of times I’ve bought through amazon prime over the last three years but I absolutely had to give this product some props. I’ve had naturally curly, very thick hair, and super strong, fast-growing nails my entire life, always have gotten compliments on my hair and my nails and as silly as it sounds, wished my hair was thinner because it was SO much to deal with. As I’ve gotten older (I’m 30 at the time of writing this) my hair has thinned out. After my second child was born almost seven months ago.. My hormones took over and my hairline was visually receding like a grown man’s. My fingernails were never affected and have remained strong and beautiful, but my face and scalp dried out extremely bad and my hair was just falling out excessively. I couldn’t put my hair up anymore and did everything I could to hide my bald spots. I cried everyday. My doctor told me eventually my hair should start growing back but it takes time. I’ve had friends who have had this problem and their hair NEVER grew back so I was mortified remembering how little hair my grandma had when she died at age 65. I was hesitant on trying these because I’ve heard gummy vitamins don’t absorb as well but I was willing to try anything to get my hair back. It’s a 6 week difference between these pics. My nails never took a hit but they’re growing even faster than normal and even my skin dryness has improved a little. My main concern was my hair. My hair has not grown this fast since I was a kid and it no longer looks like I’m balding. The proof is in the pics and I’ve had multiple friends order now just from seeing my results.",5
35,1,1,0,0,0,1,1,2022-11-20,GiGi,Sugarbear for my hair,Love Sugarbear for my hair. I have been using this product for about 3 years they are easy to take.Love them.. I ran out and after a few weeks I noticed a difference in my hair....ordered again and noticed a big difference after couple weeks. I'll keep using this product unless something better comes out.,5
36,0,0,0,0,-1,0,-1,2023-01-05,Joana Peralta,Vitaminas,"Muy bueno el producto, llegó bien y me ayudó mucho con la caída de cabello",5
37,0,1,1,0,0,0,0,2020-12-31,COSMO,THESE HAVE SAVED MY HAIR'S LIFE!,"I've been using this product for the last 3+ months since late September. After an incident with swimming in my pool with dyed hair, half my hair was falling out! Hair dye and swimming DO NOT MIX. My hair used to be down to my stomach, after the chemical mishap, it went up to my shoulders, I cried every night in bed. I was skeptical about buying these, there was almost a point where I thought about shaving my head because I was that desperate to get my length back. These were my last resort and OMG, these were absolutely life savers! I'm not to say these are magical gummies, results take time, patience and consistency. Along with my recovery, I did adapt to a hair care routine and took safety precautions such as washing my hair 1-2x a week, sleeping with a satin bonnet every night, applying detangler/leave in spray conditioner after washing my hair, not wrapping your hair in a towel, not using a hair dryer, applying hair growth biotin to my scalp to boost the results. I take photos of my hair growth every month, within the 1st month, my hair was healthier, softer and stronger, after 3 months, I do see a huge difference in length. I'm glad I purchased these, I was so desperate to regain my length. Along with a hair care routine, these gummies will give you reasonable results. This is not a quick fix, but, trust me, it will be worth it!",5
38,-1,0,0,0,0,-1,0,2022-12-31,Melanie,Good product.,"I've, been using this product for a long time. They actually work for me.",5
39,0,-1,-1,0,1,0,0,2016-11-21,Amazon Customer,Sugar bears cleared my acne prone skin!,"I never write reviews for anything but the fact this is the one vitamin that I have noticed results from..I just have to let all of you know that rather than help grow my hair (which is actually true).. it has caused my skin to be extremely smooth. I have always been prone to breakouts.. I've been on accutane twice, proactive for years and just recently I started getting facials just for maintenance purposes. I always used to have little pimples on my forehead and then some on my neck and near my temples.. but it just depended on the week..some weeks were way better than others for my skin... people who get regular acne will understand what I mean. After being on accutane.. my skin become gorgeous..both times it lasted for about a year and then I would begin to have break outs again. I would go tanning in tanning beds just to try to dry out the pimples or it would just make my face darker which I felt hid my acne..(it actually just was damaging my skin even more and causing me more oily breakouts)..as much as I knew tanning was awful for me.. it was the one thing that I felt helped( although it really didn't!) I started taking sugar bear hair two months ago.. I can't say my skin was awful before taking them because it wasn't.. it wasnt great either.. but ever since I began taking these delicious gummies.. I swear I rarely get a pimple!!! My forehead I so smooth and clear along with the rest of my face. Bottom line.. these things are delicious.. I would eat a handful if I could. I figured they were just a fluke ad that everyone posts on instagram.. but I'm telling you.. it really works. I have longer hair to start but I have noticed stronger and thinker hair. I mainly take them for my skin now that I have found out how amazing they are. I read reviews of people saying that you shouldn't take them if you have acne prone skin but believe me ..everyone is different.. it might just work for you like it has for me!",5
40,1,0,1,0,0,1,0,2021-10-23,Alex,It actually works,"I have very thin hair and recently got a haircut whete they cut wayyyyy too much length off, and my hairline isnt exactly desirable for being a man, within 3 weeks after taking these I noticed 3 big changes. 1. My hair got a lot thicker and fuller I couldnt really tell if it grew faster or not but im satisfied with the length as well. 2. Hair that stopped growing 3 years ago started growing again, this I did not expect! Very happy with this. 3. The reviews that write about acne as a side effect are spot on, I never get acne but after taking these I noticed my face started getting dry skin and a few spots of acne breakouts, its totally managable though because after 2 days of a moisturizer that went away. It started coming back again so im going to have to use the product again to treat it. If you want your hair to grow thicker and your front hairline to possibly grow back again I highly reccomend these. The tradeoff for thicker hair for manageable acne is definitely worth it imo. Just get acbe treatment in advance.",5
41,1,0,0,0,0,0,0,2022-12-23,Kindle Customer,Pleasant taste.,"Like the taste, easy to chew and swallow. Great product for hair growth.",5
42,0,-1,0,-1,-1,0,-1,2022-12-03,Amazon Customer,Love it,I love this product helped me a lot with hair shading. Also if you want a longer hair this is a perfect product for that,5
43,0,0,-1,0,0,0,0,2022-11-25,Katie Ighodaro,My favorite!,"These little gummy bears are the best I can find. It makes my hair so much thicker, longer and all around healthy! Even helps with lashes and brows! Definitely recommend!",5
44,-1,0,-1,0,-1,0,-1,2020-11-24,kris f.,This is the best hair vitamin,"Absolutely amazing vitamins I'm sure they helped my hair, does not shed as much, shinier, my hair grows fast no matter what it was mainly for the health of my hair I wanted these. Slightly fuller, my hair is almost shoulder length I wear it in ponytail, I am 71 yrs young. I used to take other kind but I didnt like too chewy & I'm allergic to red food dye color. It recommends 2 a day I take 1, I have been out now 2 wks so I gotta order again before I start shedding like my 3 cats, that is one thing I noticed, my hair is not falling out when I comb it after shower. Not sure what is in these but im convinced they work, I will take 2 next time, however I would like them to be a lil less expensive, especially since im on Soc Sec. Hey can we have Sr Citizen discount pls I will take these forever at my age my hair is important, my hair is white/lite grey I get compliments on how shiny it is, I'd rather be blonde like I used to be about 3 yrs ago yes I literally went grey overnite, shock sold house, moved, cat died, separated, uncertainty about everything. So shedding hair is one thing I dont want, life is stressful enough.",5
45,0,-1,0,0,0,0,0,2020-09-03,Rae,This won't work if your system is too toxic and stressed out change a little gain ALOT,"I am the last one to give anything a good review for no reason. So believe me when I say with all honesty, I just finished my first bottle (I got the 3 month supply because your system doesnt take some time to adjust and if you want something that works and lasts, you will never get anything that will give you what you want over night.. I have literally tried EVERHTHING. Straight biotin and more.. But for starters, first off my nails have never grown this evenly, quickly or have ever been this strong. Ever. My family are the toughest cridicts and even they noticed (whaaaa) lol. Second, I have daily extream anxiety and stress and to be honest I am not a stranger to depression, so when my hair got as thin as it was I really thought there was something wrong with me... After a slight change in diet (just eating a little better) and taking this, ONE MONTH my hair is 2 inches longer and is looking healthier. It used to take a few months for it to grow an inch and a half.. It got really bad.. So my suggestion to you. If you want this to work, you should also try taking a bit better care of yourself on the insides. Most vitamins and supplements WONT WORK if your body can't process them. Learned this the hard LOOOONG way as well.. I reccomend it, and wish you all the best.",5
46,0,-1,0,-1,0,0,0,2016-04-06,Amazon Customer,1) The taste is AWESOME! They are very soft and delicious,"I have a lot to say about these. I bought them to help my hair grow. I have been taking these vitamins for about 6/7 weeks. Which means I am on my second bottle and I also think I now have a solid review:. PROS:. 1) The taste is AWESOME! They are very soft and delicious, like a fruity gummy snack. Honestly hard to eat just the recommended 2!. 2) My nails have never been stronger. They grow insanely fast and do not break (maybe a tiny tear in a corner but nothing a nail file cant fix) I must also add that I am very rough on my nails. They are also shiny and the tips are very opaque and white (normally the tips of my nails are flimsy and see through). 3) My hair seems to be growing faster. I can usually get away with not coloring my roots for up to 8 weeks but right around 5 weeks it was looking BAD! I would say my normal hair grows just over 1/2 inch per month and now its growing 1/2 inch in about 3 weeks. My opinion is you will see results but nothing like the pictures you see on instagram where you see girls' hair growing 2 inches in a month.. CONS:. 1) Body hair will also grow faster. For some reason I think my armpit hair is growing the fastest lol but my eyebrows have also filled in more than usual (this can be a PRO for some ladies with sparse brows) I did not notice any improvement in eyelashes. 2) The price is a little high but I have never seen such great results for my nails from a vitamin so it might be worth it to some people.. Overall, great product. I think it delivers what it says it will deliver. Personally, I will try it for one more month and see if I get any substantial hair growth and if not I will no longer place future orders.",5
47,0,-1,-1,0,-1,0,0,2022-09-05,Alyson,IT WORKS!,"My teen boy who had quite long hair got a haircut before school and was completely freaked out by how short it was. We looked up how fast hair grows and what to do to help. We measured carefully. He won't let me post pictures but his hair grew a solid inch or more in 6 weeks! Finger nails also grew fast, not a desired side effect for him but worth it. He is a very happy customer.",5
48,0,-1,-1,0,0,0,1,2022-09-21,Spooky,Changed product,I’ve been buying product for years and the bottle I purchased from Amazon in September 2022 tasted strange and the gummies also had a different tint of blue to them. Needles to say I immediately discarded them. When I received them the plastic seal on the top was still intact but I was comfortable consuming something that obviously had a problem at the manufacturer.,5
49,0,0,0,-1,0,0,0,2022-05-16,britbrat81,My nails have not been this healthy and strong ever,I have been taking these vitamins for 5 months now in order to help grow my hair back after chemotherapy. My last chemo treatment was in early December 2021 and I started taking these vitamins right away. My hair has been growing back since around Christmas 2021 and is growing thick and fast. I am also really impressed by my nail growth and how healthy and strong they are! I work with my hands a lot and my nails are always cracking and breaking but not with these vitamins! It took me about 3-4 months to notice the difference it is making in my nails. I was considering switching to a cheaper brand but I will not be doing that.,5
50,-1,0,0,0,0,-1,-1,2022-12-20,Michele P,Will definitely purchase again,These gummies are tasty and easy to swallow,5
51,1,0,0,0,0,1,0,2022-11-28,B,"Tasty, and helping my hair!",My hair seems to be in better condition since starting these over a month ago. And I think it is growing faster!,5
52,-1,0,0,-1,0,0,1,2022-03-30,Laura S,Buy them now! Hair loss after pregnancy,I had my son 5 months ago and at first my hair seemed fine but about 3 months in it started pouring out of my head by the handful. Now I’ve read about it and I know it’s normal and that having baby hairs all over is common. However it was still such an extreme and my hair was also very dry and dull compared to what it had been long before I was even pregnant. I’ve only been taking these for a week and maybe I’m crazy but the difference in my hair is already so much better. It’s shinier and less hair is falling out. I’m completely sold on this product. I’ll be sure to update my review if that changes but as of right not I swear it works wonders.,5
